"","Country.Name","Year","Total.Land","Agriculture.Land","Forest.Area"
"3026","Libya",2003,1759540,154500,0.1233277
"3027","St. Lucia",2003,610,124,34.45902
"3028","Latin America & Caribbean",2003,20041744.4,7187004,48.17285
"3029","Least developed countries: UN classification",2003,20139971,7913413.7,28.63256
"3030","Low income",2003,13381251,4987746.7,29.32358
"3031","Liechtenstein",2003,160,69,43.125
"3032","Sri Lanka",2003,62710,23700,34.24653
"3033","Lower middle income",2003,23157137,10725035,26.79083
"3034","Low & middle income",2003,94671132.7,35898011.1,32.0121
"3035","Lesotho",2003,30360,23040,1.403162
"3036","Late-demographic dividend",2003,44534772.7,15568072,38.70422
"3037","Morocco",2003,446300,308760,11.73605
"3038","Madagascar",2003,581540,408430,22.20312
"3039","Maldives",2003,300,120,3.333333
"3040","Middle East & North Africa",2003,11238650,3899036,1.923596
"3041","Mexico",2003,1943950,1065500,34.66766
"3042","Middle income",2003,81345811.7,30922228.4,32.45571
"3043","Mali",2003,1220190,407260,4.64108
"3044","Malta",2003,320,104,1.09375
"3045","Myanmar",2003,653540,109820,51.93225
"3046","Middle East & North Africa (excluding high income)",2003,8643750,2133877,2.333267
"3047","Mongolia",2003,1553560,1137960,7.384073
"3048","Mozambique",2003,786380,487500,51.53056
"3049","Mauritania",2003,1030700,396620,0.2784515
"3050","Mauritius",2003,2030,990,19.5468
"3051","Malawi",2003,94280,49800,36.78405
"3052","Malaysia",2003,328550,70819,64.43585
"3053","North America",2003,18255480,4814604,35.7118
"3054","Namibia",2003,823290,388200,9.4856
"3055","New Caledonia",2003,18280,2436,45.89716
"3056","Niger",2003,1266700,384120,1.019026
"3057","Nigeria",2003,910770,717500,13.07487
"3058","Nicaragua",2003,120340,53360,29.94848
"3059","Netherlands",2003,33760,19230,10.75237
"3060","Norway",2003,365245,10400,33.12954
"3061","Nepal",2003,143350,42270,26.10115
"3062","Nauru",2003,20,4,0
"3063","New Zealand",2003,263310,118580,38.60621
"3064","OECD members",2003,34419891,12771389.3,31.10368
"3065","Oman",2003,309500,13730,0.006462036
"3066","Other small states",2003,2032341,816796,26.58435
"3067","Pakistan",2003,770880,368420,2.578352
"3068","Panama",2003,74340,22352,64.78343
"3069","Peru",2003,1280000,228880,59.19969
"3070","Philippines",2003,298170,112400,23.66167
"3071","Papua New Guinea",2003,452860,10050,74.17657
"3072","Poland",2003,306240,161690,29.85763
"3073","Pre-demographic dividend",2003,20167611,8432606.7,27.8963
"3074","Puerto Rico",2003,8870,2160,51.60767
"3075","Korea, Dem. People’s Rep.",2003,120410,25500,54.41907
"3076","Portugal",2003,91500,38110,36.22732
"3077","Paraguay",2003,397300,193460,47.40045
"3078","West Bank and Gaza",2003,6020,3670,1.516611
"3079","Pacific island small states",2003,64200,8416,62.18193
"3080","Post-demographic dividend",2003,31483147,11551534.3,31.43243
"3081","French Polynesia",2003,3660,450,32.78689
"3082","Qatar",2003,11610,646,0
"3083","Romania",2003,229950,148000,27.74951
"3084","Rwanda",2003,24670,18040,14.94122
"3085","South Asia",2003,4773260,2714750,16.78207
"3086","Saudi Arabia",2003,2149690,1737980,0.4544841
"3087","Sudan",2003,2376000,1345300,11.97808
"3088","Senegal",2003,192530,86320,45.51498
"3089","Singapore",2003,687,8,23.79913
"3090","Solomon Islands",2003,27990,830,80.45016
"3091","Sierra Leone",2003,72180,35666.7,39.6675
"3092","El Salvador",2003,20720,15510,15.35714
"3093","San Marino",2003,60,10,0
"3094","Somalia",2003,627340,442760,11.61189
"3095","Sub-Saharan Africa (excluding high income)",2003,23616931,10316506.7,27.61372
"3096","Sub-Saharan Africa",2003,23617391,10316546.7,27.61491
"3097","Small states",2003,2501391,850992,37.04628
"3098","Sao Tome and Principe",2003,960,540,58.33333
"3099","Suriname",2003,156000,805,98.58333
"3100","Sweden",2003,410340,31630,68.71375
"3101","Swaziland",2003,17200,12240,30.9186
"3102","Seychelles",2003,460,40,88.41304
"3103","Syrian Arab Republic",2003,183590,138130,2.447846
"3104","Turks and Caicos Islands",2003,950,10,36.21053
"3105","Chad",2003,1259200,488300,4.935673
"3106","East Asia & Pacific (IDA & IBRD countries)",2003,15793812.7,7485525,28.74138
"3107","Europe & Central Asia (IDA & IBRD countries)",2003,22989749,6515440,38.37002
"3108","Togo",2003,54390,34800,7.832322
"3109","Thailand",2003,510890,195540,32.2269
"3110","Latin America & the Caribbean (IDA & IBRD countries)",2003,19913632,7117977,48.29867
"3111","Timor-Leste",2003,14870,3650,55.17149
"3112","Middle East & North Africa (IDA & IBRD countries)",2003,8637730,2130207,2.333837
"3113","Tonga",2003,720,300,12.5
"3114","South Asia (IDA & IBRD)",2003,4773260,2714750,16.78207
"3115","Sub-Saharan Africa (IDA & IBRD countries)",2003,23617391,10316546.7,27.61491
"3116","Trinidad and Tobago",2003,5130,600,45.11501
"3117","Tunisia",2003,155360,97840,5.688723
"3118","Turkey",2003,769630,406440,13.60446
"3119","Tuvalu",2003,30,17,33.33333
"3120","Tanzania",2003,885800,342700,57.25897
"3121","Uganda",2003,199810,131120,18.04214
"3122","Upper middle income",2003,58188674.7,20197193.4,34.70909
"3123","Uruguay",2003,175020,149270,8.347389
"3124","United States",2003,9161920,4139250,33.21013
"3125","St. Vincent and the Grenadines",2003,390,100,66.66667
"3126","Venezuela, RB",2003,882050,215400,54.74542
"3127","British Virgin Islands",2003,150,70,24.4
"3128","Virgin Islands (U.S.)",2003,350,60,55.51429
"3129","Vietnam",2003,310070,95370,40.43281
"3130","Vanuatu",2003,12190,1800,36.09516
"3131","World",2003,129760778.1,49163748.4,31.14892
"3132","Samoa",2003,2830,450,60.42403
"3133","Yemen, Rep.",2003,527970,234950,1.039832
"3134","South Africa",2003,1213090,979280,7.617737
"3135","Zambia",2003,743390,229090,68.11257
"3136","Zimbabwe",2003,386850,156500,46.30477
"3137","Aruba",2004,180,20,2.333333
"3138","Afghanistan",2004,652860,379110,2.067825
"3139","Angola",2004,1246700,575900,47.50846
"3140","Albania",2004,27400,11220,28.45912
"3141","Andorra",2004,470,199,34.04255
"3142","Arab World",2004,13623821,5444076,3.466765
"3143","United Arab Emirates",2004,83600,5590,3.727273
"3144","Argentina",2004,2736690,1343450,11.15245
"3145","American Samoa",2004,200,50,89.55
"3146","Antigua and Barbuda",2004,440,90,22.36364
"3147","Australia",2004,7682300,4401100,16.64619
"3148","Austria",2004,82580,28674,46.60208
"3149","Burundi",2004,25680,18480,7.180685
"3150","Benin",2004,112760,35670,43.10926
"3151","Burkina Faso",2004,273600,106700,21.96199
"3152","Bangladesh",2004,130170,93230,11.19766
"3153","Bulgaria",2004,108760,53300,33.06179
"3154","Bahrain",2004,730,87,0.5890411
"3155","Bahamas, The",2004,10010,130,51.44855
"3156","Belize",2004,22810,1520,62.47611
"3157","Bermuda",2004,50,4,20
"3158","Bolivia",2004,1083300,366170,54.4682
"3159","Brazil",2004,8358140,2721320,60.97553
"3160","Barbados",2004,430,160,14.65116
"3161","Brunei Darussalam",2004,5270,110,74.11765
"3162","Bhutan",2004,38117,5840,69.4105
"3163","Botswana",2004,566730,258270,21.28244
"3164","Central African Republic",2004,622980,52150,35.86247
"3165","Canada",2004,9093510,675510,38.2274
"3166","Central Europe and the Baltics",2004,1103436,545347,33.0562
"3167","Switzerland",2004,39520,15532,30.67814
"3168","Channel Islands",2004,190,75,4.210526
"3169","Chile",2004,743532,159350,21.51945
"3170","China",2004,9388212.5,5164330,20.22059
"3171","Cote d'Ivoire",2004,318000,2e+05,32.6717
"3172","Cameroon",2004,472710,92100,44.92395
"3173","Congo, Dem. Rep.",2004,2267050,255500,68.81339
"3174","Congo, Rep.",2004,341500,105450,65.85066
"3175","Colombia",2004,1109500,423910,54.5478
"3176","Comoros",2004,1861,1350,22.89092
"3177","Cabo Verde",2004,4030,750,20.66749
"3178","Costa Rica",2004,51060,18220,48.33529
"3179","Caribbean small states",2004,404850,25656.3,85.53462
"3180","Cuba",2004,106410,65280,24.85293
"3181","Cayman Islands",2004,240,27,52.91667
"3182","Cyprus",2004,9240,1560,18.67965
"3183","Germany",2004,348770,170130,32.62322
"3184","Djibouti",2004,23180,17010,0.2415876
"3185","Dominica",2004,750,220,61.68
"3186","Denmark",2004,42430,26460,13.27504
"3187","Dominican Republic",2004,48310,24170,33.50859
"3188","Algeria",2004,2381740,411450,0.6485175
"3189","East Asia & Pacific (excluding high income)",2004,15914302.5,7544640,29.07659
"3190","Early-demographic dividend",2004,33108587,13696936.8,22.78417
"3191","East Asia & Pacific",2004,24386619.5,12142304,26.01222
"3192","Europe & Central Asia (excluding high income)",2004,22683859,6339448,38.49057
"3193","Europe & Central Asia",2004,27447585,8111552,37.56004
"3194","Ecuador",2004,248360,75270,54.01019
"3195","Egypt, Arab Rep.",2004,995450,34780,0.06569893
"3196","Euro area",2004,2677813,1230862,36.93036
"3197","Spain",2004,499180,290710,34.4987
"3198","Ethiopia",2004,1e+06,331010,13.141
"3199","European Union",2004,4240443,1930592,36.86838
"3200","Fragile and conflict affected situations",2004,14823998,5126342.3,23.74596
"3201","Finland",2004,304590,22530,72.89602
"3202","Fiji",2004,18270,4280,54.40066
"3203","France",2004,547567,294584,28.75739
"3204","Faroe Islands",2004,1396,30,0.05730659
"3205","Gabon",2004,257670,51600,85.38053
"3206","United Kingdom",2004,241930,170510,12.4317
"3207","Ghana",2004,227540,151000,39.65984
"3208","Guinea",2004,245720,139300,27.51099
"3209","Gambia, The",2004,10120,5150,46.34387
"3210","Guinea-Bissau",2004,28120,16100,74.0256
"3211","Equatorial Guinea",2004,28050,3240,60.48485
"3212","Greece",2004,128900,83410,28.87355
"3213","Grenada",2004,340,120,49.97059
"3214","Greenland",2004,410450,2359,0.0005359971
"3215","Guatemala",2004,107160,48000,37.25271
"3216","Guam",2004,540,200,46.2963
"3217","Guyana",2004,196850,17080,84.35865
"3218","High income",2004,35033447.4,13236387.3,28.60169
"3219","Honduras",2004,111890,31400,52.83761
"3220","Heavily indebted poor countries (HIPC)",2004,19753821,7767946.1,29.85439
"3221","Haiti",2004,27560,16700,3.838897
"3222","Hungary",2004,89620,58640,21.97947
"3223","IBRD only",2004,69404486.5,25158532.3,33.93695
"3224","IDA & IBRD total",2004,95724191.5,36411459.4,31.81488
"3225","IDA total",2004,26319705,11252927.1,26.21671
"3226","IDA blend",2004,5937540,3151709,21.61119
"3227","Indonesia",2004,1811570,533660,54.18913
"3228","IDA only",2004,20382165,8101218.1,27.55906
"3229","Isle of Man",2004,570,458,6.070175
"3230","India",2004,2973190,1803750,22.61719
"3231","Ireland",2004,68890,43050,9.912324
"3232","Iran, Islamic Rep.",2004,1628760,644860,6.396719
"3233","Iraq",2004,437370,86900,1.883074
"3234","Iceland",2004,100250,18840,0.3487282
"3235","Israel",2004,21640,5135,7.144177
"3236","Italy",2004,294140,148830,29.51316
"3237","Jamaica",2004,10830,4720,31.3518
"3238","Jordan",2004,88240,10370,1.104941
"3239","Japan",2004,364500,47140,68.37641
"3240","Kenya",2004,569140,269920,6.938539
"3241","Cambodia",2004,176520,52300,61.71539
"3242","Kiribati",2004,810,340,15
"3243","St. Kitts and Nevis",2004,260,80.3,42.30769
"3244","Korea, Rep.",2004,96820,18930,64.67259
"3245","Kuwait",2004,17820,1500,0.3035915
"3246","Latin America & Caribbean (excluding high income)",2004,19095660,6956392,49.32483
"3247","Lao PDR",2004,230800,19460,72.7945
"3248","Lebanon",2004,10230,6383,13.23558
"3249","Liberia",2004,96320,26150,46.81271
"3250","Libya",2004,1759540,153850,0.1233277
"3251","St. Lucia",2004,610,111,34.36066
"3252","Latin America & Caribbean",2004,20041754.4,7267329.3,47.93539
"3253","Least developed countries: UN classification",2004,20138168,7934673.1,28.50287
"3254","Low income",2004,13381251,5009006.1,29.15703
"3255","Liechtenstein",2004,160,69,43.125
"3256","Sri Lanka",2004,62710,23100,34.01052
"3257","Lower middle income",2004,23155324,10743419,26.72937
"3258","Low & middle income",2004,94669619.5,36022475.1,31.96017
"3259","Lesotho",2004,30360,23140,1.40975
"3260","Late-demographic dividend",2004,44535182.5,15588488,38.70123
"3261","Morocco",2004,446300,300410,11.91889
"3262","Madagascar",2004,581540,408430,22.13949
"3263","Maldives",2004,300,110,3.333333
"3264","Middle East & North Africa",2004,11238640,3907471,1.956763
"3265","Mexico",2004,1943950,1065700,34.58813
"3266","Middle income",2004,81344348.5,31025233,32.4227
"3267","Mali",2004,1220190,397910,4.576336
"3268","Malta",2004,320,100,1.09375
"3269","Myanmar",2004,653420,110820,51.46827
"3270","Middle East & North Africa (excluding high income)",2004,8643730,2142603,2.376285
"3271","Mongolia",2004,1553560,1136818,7.331419
"3272","Mozambique",2004,786380,488500,51.24851
"3273","Mauritania",2004,1030700,396610,0.2687494
"3274","Mauritius",2004,2030,980,19.18227
"3275","Malawi",2004,94280,49800,36.43403
"3276","Malaysia",2004,328550,71030,64.00913
"3277","North America",2004,18255480,4790724,35.7227
"3278","Namibia",2004,823290,388200,9.395474
"3279","New Caledonia",2004,18280,2366,45.89716
"3280","Niger",2004,1266700,384720,1.009237
"3281","Nigeria",2004,910770,718000,12.62514
"3282","Nicaragua",2004,120340,52370,29.36679
"3283","Netherlands",2004,33760,19494,10.78199
"3284","Norway",2004,365245,10400,33.11804
"3285","Nepal",2004,143350,42180,25.73282
"3286","Nauru",2004,20,4,0
"3287","New Zealand",2004,263310,118900,38.63963
"3288","OECD members",2004,34419610,12760376,31.11191
"3289","Oman",2004,309500,14720,0.006462036
"3290","Other small states",2004,2030668,817427,26.50417
"3291","Pakistan",2004,770880,360450,2.522831
"3292","Panama",2004,74340,22326,64.55475
"3293","Peru",2004,1280000,229060,59.10297
"3294","Philippines",2004,298170,114700,23.6932
"3295","Papua New Guinea",2004,452860,10200,74.17038
"3296","Poland",2004,306330,163270,29.94091
"3297","Pre-demographic dividend",2004,20167611,8441367.3,27.76645
"3298","Puerto Rico",2004,8870,2100,51.89515
"3299","Korea, Dem. People’s Rep.",2004,120410,25500,53.366
"3300","Portugal",2004,91500,38170,36.12459
"3301","Paraguay",2004,397300,196400,46.95092
"3302","West Bank and Gaza",2004,6020,3670,1.519934
"3303","Pacific island small states",2004,64200,8416,62.15296
"3304","Post-demographic dividend",2004,31482819,11531082,31.44582
"3305","French Polynesia",2004,3660,450,34.15301
"3306","Qatar",2004,11610,646,0
"3307","Romania",2004,230000,141300,27.76522
"3308","Rwanda",2004,24670,18158.8,15.27361
"3309","South Asia",2004,4771577,2707770,16.86359
"3310","Saudi Arabia",2004,2149690,1737090,0.4544841
"3311","Sudan",2004,2376000,1344970,11.90467
"3312","Senegal",2004,192530,86870,45.28125
"3313","Singapore",2004,689,8,23.73004
"3314","Solomon Islands",2004,27990,830,80.25723
"3315","Sierra Leone",2004,72180,37727.3,39.39595
"3316","El Salvador",2004,20720,16100,15.13514
"3317","San Marino",2004,60,10,0
"3318","Somalia",2004,627340,443770,11.48946
"3319","Sub-Saharan Africa (excluding high income)",2004,23616931,10343436.1,27.47703
"3320","Sub-Saharan Africa",2004,23617391,10343476.1,27.47822
"3321","Small states",2004,2499718,851499.3,36.9802
"3322","Sao Tome and Principe",2004,960,500,58.33333
"3323","Suriname",2004,156000,775,98.55769
"3324","Sweden",2004,410340,31840,68.74056
"3325","Swaziland",2004,17200,12240,31.18605
"3326","Seychelles",2004,460,40,88.41304
"3327","Syrian Arab Republic",2004,183570,139050,2.479708
"3328","Turks and Caicos Islands",2004,950,10,36.21053
"3329","Chad",2004,1259200,488300,4.90629
"3330","East Asia & Pacific (IDA & IBRD countries)",2004,15793692.5,7519090,28.89065
"3331","Europe & Central Asia (IDA & IBRD countries)",2004,22990189,6502718,38.3766
"3332","Togo",2004,54390,34550,7.464607
"3333","Thailand",2004,510890,195550,31.87027
"3334","Latin America & the Caribbean (IDA & IBRD countries)",2004,19913632,7199472.3,48.05698
"3335","Timor-Leste",2004,14870,3850,54.41829
"3336","Middle East & North Africa (IDA & IBRD countries)",2004,8637710,2138933,2.376882
"3337","Tonga",2004,720,300,12.5
"3338","South Asia (IDA & IBRD)",2004,4771577,2707770,16.86359
"3339","Sub-Saharan Africa (IDA & IBRD countries)",2004,23617391,10343476.1,27.47822
"3340","Trinidad and Tobago",2004,5130,550,44.97466
"3341","Tunisia",2004,155360,98300,5.789135
"3342","Turkey",2004,769630,412100,13.72893
"3343","Tuvalu",2004,30,17,33.33333
"3344","Tanzania",2004,885800,351600,56.80741
"3345","Uganda",2004,199810,132620,17.60172
"3346","Upper middle income",2004,58189024.5,20281814,34.6872
"3347","Uruguay",2004,175020,148290,8.521198
"3348","United States",2004,9161920,4115210,33.23679
"3349","St. Vincent and the Grenadines",2004,390,100,66.66667
"3350","Venezuela, RB",2004,882050,215900,54.41936
"3351","British Virgin Islands",2004,150,70,24.4
"3352","Virgin Islands (U.S.)",2004,350,60,54.51429
"3353","Vietnam",2004,310070,97956,41.30358
"3354","Vanuatu",2004,12190,1810,36.09516
"3355","World",2004,129759046.9,49270626.4,31.11403
"3356","Samoa",2004,2830,430,60.42403
"3357","Yemen, Rep.",2004,527970,235570,1.039832
"3358","South Africa",2004,1213090,976080,7.617737
"3359","Zambia",2004,743390,228970,67.88846
"3360","Zimbabwe",2004,386850,160000,45.45948
"3361","Aruba",2005,180,20,2.333333
"3362","Afghanistan",2005,652860,379100,2.067825
"3363","Angola",2005,1246700,575900,47.40836
"3364","Albania",2005,27400,10770,28.55474
"3365","Andorra",2005,470,197,34.04255
"3366","Arab World",2005,13623831,5457617,3.454818
"3367","United Arab Emirates",2005,83600,5620,3.732057
"3368","Argentina",2005,2736690,1377975,11.03011
"3369","American Samoa",2005,200,50,89.4
"3370","Antigua and Barbuda",2005,440,90,22.27273
"3371","Australia",2005,7682300,4451490,16.61495
"3372","Austria",2005,82580,28568,46.63357
"3373","Burundi",2005,25680,18190,7.048287
"3374","Benin",2005,112760,35200,42.66584
"3375","Burkina Faso",2005,273600,109700,21.74342
"3376","Bangladesh",2005,130170,93110,11.17769
"3377","Bulgaria",2005,108640,52650,33.60641
"3378","Bahrain",2005,740,87,0.6081081
"3379","Bahamas, The",2005,10010,130,51.44855
"3380","Belize",2005,22810,1520,62.10127
"3381","Bermuda",2005,50,4,20
"3382","Bolivia",2005,1083300,369620,54.21767
"3383","Brazil",2005,8358140,2724326,60.6276
"3384","Barbados",2005,430,160,14.65116
"3385","Brunei Darussalam",2005,5270,110,73.81404
"3386","Bhutan",2005,38117,5930,69.67101
"3387","Botswana",2005,566730,258415,21.07353
"3388","Central African Republic",2005,622980,52150,35.83743
"3389","Canada",2005,9093510,675690,38.22242
"3390","Central Europe and the Baltics",2005,1103286,545879,33.19176
"3391","Switzerland",2005,39518,15500,30.79609
"3392","Channel Islands",2005,190,76,4.210526
"3393","Chile",2005,743532,158850,21.5754
"3394","China",2005,9388211.8,5174330,20.56237
"3395","Cote d'Ivoire",2005,318000,202000,32.72013
"3396","Cameroon",2005,472710,92130,44.45855
"3397","Congo, Dem. Rep.",2005,2267050,255500,68.67603
"3398","Congo, Rep.",2005,341500,105470,65.80088
"3399","Colombia",2005,1109500,425570,54.2599
"3400","Comoros",2005,1861,1330,22.56851
"3401","Cabo Verde",2005,4030,750,20.74194
"3402","Costa Rica",2005,51060,18050,48.78574
"3403","Caribbean small states",2005,404850,25167,85.49021
"3404","Cuba",2005,106440,66370,25.33822
"3405","Cayman Islands",2005,240,27,52.91667
"3406","Cyprus",2005,9240,1670,18.70671
"3407","Germany",2005,348760,170310,32.64136
"3408","Djibouti",2005,23180,17010,0.2415876
"3409","Dominica",2005,750,220,61.32
"3410","Denmark",2005,42430,27070,13.144
"3411","Dominican Republic",2005,48310,24170,34.19582
"3412","Algeria",2005,2381740,412110,0.6449067
"3413","East Asia & Pacific (excluding high income)",2005,15914241.8,7543627,29.21665
"3414","Early-demographic dividend",2005,33108537,13556122,22.71636
"3415","East Asia & Pacific",2005,24386588.8,12189465.6,26.09457
"3416","Europe & Central Asia (excluding high income)",2005,22683937,6329796,38.4966
"3417","Europe & Central Asia",2005,27447511,8101254,37.57758
"3418","Ecuador",2005,248360,75000,53.69319
"3419","Egypt, Arab Rep.",2005,995450,35230,0.06730624
"3420","Euro area",2005,2677673,1234589,37.03478
"3421","Spain",2005,499090,291640,34.6272
"3422","Ethiopia",2005,1e+06,335910,13
"3423","European Union",2005,4240153,1930229,36.96535
"3424","Fragile and conflict affected situations",2005,14823938,5156420.2,23.64895
"3425","Finland",2005,304590,22738,72.69772
"3426","Fiji",2005,18270,4280,54.58456
"3427","France",2005,547557,293904,28.96685
"3428","Faroe Islands",2005,1396,30,0.05730659
"3429","Gabon",2005,257670,51600,85.38053
"3430","United Kingdom",2005,241930,169560,12.48708
"3431","Ghana",2005,227540,151000,39.78641
"3432","Guinea",2005,245720,141210,27.36448
"3433","Gambia, The",2005,10120,5270,46.5415
"3434","Guinea-Bissau",2005,28120,16100,73.68421
"3435","Equatorial Guinea",2005,28050,3240,60.0713
"3436","Greece",2005,128900,83550,29.10784
"3437","Grenada",2005,340,70,49.97059
"3438","Greenland",2005,410450,2359,0.0005359971
"3439","Guatemala",2005,107160,45620,36.74879
"3440","Guam",2005,540,200,46.2963
"3441","Guyana",2005,196850,16780,84.33833
"3442","High income",2005,35033335.4,13286164.6,28.61291
"3443","Honduras",2005,111890,31500,51.76513
"3444","Heavily indebted poor countries (HIPC)",2005,19753821,7854509.2,29.71613
"3445","Haiti",2005,27560,16700,3.809869
"3446","Hungary",2005,89610,58630,22.12923
"3447","IBRD only",2005,69404553.8,25025471,33.92066
"3448","IDA & IBRD total",2005,95724208.8,36369615.2,31.76486
"3449","IDA total",2005,26319655,11344144.2,26.07768
"3450","IDA blend",2005,5937550,3157553,21.44445
"3451","Indonesia",2005,1811570,518460,54.01779
"3452","IDA only",2005,20382105,8186591.2,27.42812
"3453","Isle of Man",2005,570,461,6.070175
"3454","India",2005,2973190,1801260,22.77318
"3455","Ireland",2005,68890,43020,10.08622
"3456","Iran, Islamic Rep.",2005,1628760,476310,6.564491
"3457","Iraq",2005,437370,93900,1.886275
"3458","Iceland",2005,100250,18820,0.3640898
"3459","Israel",2005,21640,5145,7.162662
"3460","Italy",2005,294140,147360,29.77834
"3461","Jamaica",2005,10830,4670,31.32041
"3462","Jordan",2005,88240,10130,1.104941
"3463","Japan",2005,364500,46920,68.40878
"3464","Kenya",2005,569140,270020,7.110728
"3465","Cambodia",2005,176520,53560,60.79198
"3466","Kiribati",2005,810,340,15
"3467","St. Kitts and Nevis",2005,260,50,42.30769
"3468","Korea, Rep.",2005,96850,18810,64.58441
"3469","Kuwait",2005,17820,1500,0.3114478
"3470","Latin America & Caribbean (excluding high income)",2005,19095690,7003518,49.07171
"3471","Lao PDR",2005,230800,19850,73.09233
"3472","Lebanon",2005,10230,6530,13.34311
"3473","Liberia",2005,96320,26150,46.50125
"3474","Libya",2005,1759540,153850,0.1233277
"3475","St. Lucia",2005,610,109,34.2623
"3476","Latin America & Caribbean",2005,20041784.4,7313855,47.69788
"3477","Least developed countries: UN classification",2005,20138108,8018386.2,28.3707
"3478","Low income",2005,13381251,5085049.2,28.99049
"3479","Liechtenstein",2005,160,69,43.125
"3480","Sri Lanka",2005,62710,25100,33.77452
"3481","Lower middle income",2005,23155314,10746218,26.66583
"3482","Low & middle income",2005,94669666.8,35986559.2,31.9077
"3483","Lesotho",2005,30360,23270,1.416337
"3484","Late-demographic dividend",2005,44535319.8,15596864,38.69847
"3485","Morocco",2005,446300,299890,12.10173
"3486","Madagascar",2005,581540,408930,22.07587
"3487","Maldives",2005,300,90,3.333333
"3488","Middle East & North Africa",2005,11238650,3745255,1.989928
"3489","Mexico",2005,1943950,1065700,34.5086
"3490","Middle income",2005,81344395.8,30913624,32.38909
"3491","Mali",2005,1220190,403920,4.511592
"3492","Malta",2005,320,93,1.09375
"3493","Myanmar",2005,653360,112630,50.99945
"3494","Middle East & North Africa (excluding high income)",2005,8643730,1980348,2.419297
"3495","Mongolia",2005,1553560,1134494,7.278766
"3496","Mozambique",2005,786380,492500,50.96645
"3497","Mauritania",2005,1030700,396610,0.2590472
"3498","Mauritius",2005,2030,960,18.81773
"3499","Malawi",2005,94280,51800,36.08401
"3500","Malaysia",2005,328550,71426,63.58241
"3501","North America",2005,18255480,4793534,35.7336
"3502","Namibia",2005,823290,388200,9.305348
"3503","New Caledonia",2005,18280,2301,45.89716
"3504","Niger",2005,1266700,429650,0.9994474
"3505","Nigeria",2005,910770,727000,12.17541
"3506","Nicaragua",2005,120340,53060,28.78511
"3507","Netherlands",2005,33760,19377,10.81161
"3508","Norway",2005,365245,10360,33.10654
"3509","Nepal",2005,143350,42020,25.36449
"3510","Nauru",2005,20,4,0
"3511","New Zealand",2005,263310,117120,38.67305
"3512","OECD members",2005,34419488,12808011,31.11999
"3513","Oman",2005,309500,14650,0.006462036
"3514","Other small states",2005,2030678,819036,26.40195
"3515","Pakistan",2005,770880,359650,2.46731
"3516","Panama",2005,74340,22300,64.32607
"3517","Peru",2005,1280000,232360,59.00625
"3518","Philippines",2005,298170,113550,23.72472
"3519","Papua New Guinea",2005,452860,10300,74.1642
"3520","Poland",2005,306330,159060,30.03297
"3521","Pre-demographic dividend",2005,20167611,8535530.2,27.63659
"3522","Puerto Rico",2005,8870,2010,52.18377
"3523","Korea, Dem. People’s Rep.",2005,120410,26000,52.31293
"3524","Portugal",2005,91470,38210,36.03367
"3525","Paraguay",2005,397300,199400,46.50138
"3526","West Bank and Gaza",2005,6020,3638,1.523256
"3527","Pacific island small states",2005,64200,8486,62.12368
"3528","Post-demographic dividend",2005,31482667,11583637.6,31.45904
"3529","French Polynesia",2005,3660,450,35.51913
"3530","Qatar",2005,11610,642,0
"3531","Romania",2005,229980,141800,27.78937
"3532","Rwanda",2005,24670,17829,15.606
"3533","South Asia",2005,4771577,2706260,16.93919
"3534","Saudi Arabia",2005,2149690,1737170,0.4544841
"3535","Sudan",2005,2376000,1352200,11.83127
"3536","Senegal",2005,192530,87760,45.04753
"3537","Singapore",2005,689,7.6,23.73004
"3538","Solomon Islands",2005,27990,890,80.06431
"3539","Sierra Leone",2005,72180,38120.2,39.12441
"3540","El Salvador",2005,20720,15650,14.91313
"3541","San Marino",2005,60,10,0
"3542","Somalia",2005,627340,443770,11.36704
"3543","Sub-Saharan Africa (excluding high income)",2005,23616931,10435174.2,27.34034
"3544","Sub-Saharan Africa",2005,23617391,10435214.2,27.34153
"3545","Small states",2005,2499728,852689,36.88918
"3546","Sao Tome and Principe",2005,960,490,58.33333
"3547","Suriname",2005,156000,728,98.53205
"3548","Sweden",2005,410340,32160,68.76736
"3549","Swaziland",2005,17200,12240,31.45349
"3550","Seychelles",2005,460,40,88.41304
"3551","Syrian Arab Republic",2005,183570,138280,2.511304
"3552","Turks and Caicos Islands",2005,950,10,36.21053
"3553","Chad",2005,1259200,495300,4.876906
"3554","East Asia & Pacific (IDA & IBRD countries)",2005,15793631.8,7517577,29.0398
"3555","Europe & Central Asia (IDA & IBRD countries)",2005,22990267,6488856,38.38378
"3556","Togo",2005,54390,32500,7.096893
"3557","Thailand",2005,510890,196100,31.51363
"3558","Latin America & the Caribbean (IDA & IBRD countries)",2005,19913632,7244998,47.81528
"3559","Timor-Leste",2005,14870,3850,53.6651
"3560","Middle East & North Africa (IDA & IBRD countries)",2005,8637710,1976710,2.419921
"3561","Tonga",2005,720,300,12.5
"3562","South Asia (IDA & IBRD)",2005,4771577,2706260,16.93919
"3563","Sub-Saharan Africa (IDA & IBRD countries)",2005,23617391,10435214.2,27.34153
"3564","Trinidad and Tobago",2005,5130,540,44.83431
"3565","Tunisia",2005,155360,98240,5.889547
"3566","Turkey",2005,769630,412230,13.85341
"3567","Tuvalu",2005,30,17,33.33333
